-124,-128,2236
-96,-112,2448
-48,-108,2548
-28,-80,2520
0,-44,2228
0,-24,1984
-8,-44,1708
-40,-32,1508
-80,-48,1404
-104,-52,1484
-112,-92,1644
-136,-112,1872
-116,-128,2172
-80,-120,2416
-80,-108,2528
-28,-96,2528
-8,-64,2412
24,-32,2152
16,-20,1884
-8,-24,1604
-40,-36,1432
-76,-60,1404
-92,-88,1492
-128,-108,1672
-120,-128,1952
-112,-124,2224
-84,-128,2416
-52,-100,2488
-24,-76,2448
16,-60,2292
24,-52,2036
12,-24,1760
-8,-28,1460
-68,-48,1372
-100,-64,1436
-124,-96,1612
-120,-100,1892
-120,-124,2144
-80,-104,2388
-68,-88,2520
-32,-72,2504
0,-72,2364
20,-52,2164
32,-32,1856
-12,-32,1612
-36,-40,1436
-68,-56,1384
-96,-72,1496
-128,-104,1700
-120,-120,1972
-116,-116,2272
-96,-120,2464
-68,-92,2516
-16,-72,2480
16,-56,2316
24,-56,2084
-4,-32,1792
-16,-40,1572
-52,-48,1464
-108,-60,1492
-124,-116,1660
-120,-100,1940
-112,-124,2212
-88,-116,2428
-48,-116,2548
-24,-84,2508
20,-68,2352
8,-40,2136
4,-48,1848
-8,-36,1596
-36,-40,1444
-80,-56,1408
-112,-92,1520
-120,-108,1740
-132,-112,2012
-136,-120,2276
-84,-104,2472
-48,-104,2536
-24,-84,2508
12,-72,2304
24,-52,2052
4,-28,1776
-12,-28,1528
-52,-32,1428
-84,-68,1420
-120,-88,1576
-140,-100,1824
-124,-112,2228
-92,-120,2448
-48,-104,2544
-28,-84,2512
-4,-68,2356
12,-40,2116
8,-32,1852
-20,-32,1612
-56,-32,1460
-80,-64,1432
-104,-76,1540
-132,-96,1772
-132,-104,2028
-104,-120,2284
-68,-112,2468
-56,-100,2536
-20,-88,2496
8,-56,2280
24,-28,2024
8,-40,1764
-28,-36,1560
-60,-44,1436
-80,-60,1416
-120,-84,1600
-112,-100,1812
-128,-124,2100
-104,-120,2368
-48,-104,2544
-24,-84,2496
4,-56,2344
12,-40,2080
12,-12,1812
-20,-32,1580
-40,-28,1408
-76,-60,1408
-112,-92,1516
-120,-108,1740
-136,-132,2000
-104,-128,2280
-80,-108,2464
-44,-88,2492
0,-76,2444
-4,-76,2252
12,-36,1972
16,-28,1680
-20,-20,1496
-36,-56,1364
-76,-68,1436
-116,-88,1588
-128,-124,1828
-112,-128,2108
-96,-132,2332
-84,-116,2520
-24,-92,2508
-24,-80,2424
24,-36,2060
8,-32,1804
-24,-28,1564
-52,-40,1420
-100,-52,1416
-108,-88,1564
-116,-112,1764
-128,-120,2060
-112,-124,2332
-88,-100,2488
-48,-100,2532
-8,-80,2452
12,-52,2248
28,-32,1980
4,-32,1720
-28,-12,1504
-64,-64,1416
-92,-92,1444
-116,-100,1616
-124,-104,1848
-132,-132,2152
-80,-108,2348
-72,-108,2516
-44,-96,2552
-4,-76,2404
32,-40,2180
20,-36,1920
-8,-20,1548
-48,-48,1404
-68,-64,1428
-116,-88,1576
-116,-112,1816
-116,-104,2096
-112,-124,2336
-72,-124,2512
-40,-84,2536
-16,-72,2452
16,-52,2240
28,-40,1972
8,-16,1712
-4,-24,1520
-68,-52,1412
-104,-76,1480
-116,-108,1624
-132,-104,1872
-140,-124,2168
-96,-120,2412
-68,-116,2528
-28,-108,2540
-16,-84,2408
24,-52,2160
12,-40,1884
-4,-40,1660
-24,-24,1472
-76,-68,1420
-116,-92,1588
-128,-108,1820
-132,-128,2104
-96,-128,2352
-76,-136,2528
-28,-108,2556
-8,-76,2444
16,-40,2252
20,-44,1956
12,-20,1720
-24,-28,1496
-68,-40,1436
-100,-84,1484
-112,-96,1648
-140,-104,1928
-120,-116,2184
-96,-112,2392
-72,-104,2548
-20,-76,2508
8,-64,2380
8,-48,2180
12,-44,1868
-4,-36,1592
-44,-32,1440
-64,-48,1396
-108,-80,1472
-124,-96,1696
-112,-124,2080
-108,-124,2328
-76,-116,2480
-24,-100,2500
-4,-80,2384
8,-56,2168
12,-36,1908
0,-32,1640
-24,-36,1440
-64,-64,1392
-100,-56,1452
-120,-104,1640
-120,-108,1892
-124,-132,2184
-96,-120,2404
-68,-100,2524
-16,-88,2496
12,-68,2372
16,-40,2136
24,-28,1840
